error_type,category,text,true_label,predicted_prob,source,diagnostic_note
FALSE POSITIVE,quoted harmful language,The federal and Fema doing a good job after this hurricane hit Puerto Rico trump sent the response team in right away the media and Puerto R,0,0.5196,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,"Ahh I see Alceste has appeared. My question to you is should the organizers of the art exhibition have been charged with a ""hate"" crime, as ",0,0.6107,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,"OK, Capitalism sans societal mores is conservative. Free markets in which the marketers are free to do as they please without regard or resp",0,0.9152,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,political disagreement,In reasonable interaction one tries to understand the other person`s point and critique it or affirm it. Carrying on as if the other never m,0,0.8584,toxicity_model_error,Triggered on pattern in political disagreement; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,Except ... the all powerful cabinet (mostly a bunch of well-intentioned but poorly-informed rubes) has a quiet VETO over just about everythi,0,0.506,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,The only improvement Alaska needs is on the Death Penalty.  No Joke.,0,0.5443,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,"Good for you, Tom. Hey, did you hear the one about the big muscular bodybuilder with the little tiny head?",0,0.6959,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,friendly banter,I voted against Harper because he refused to fix this (it started getting out of control under his watch).  Young ladies like this one will ,0,0.5373,toxicity_model_error,Triggered on pattern in friendly banter; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,"If it hadn't been leaked, Trump would have been open to blackmail by the Russians.  He barred American media from that room but not the Russ",0,0.6072,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,"Just as you should have remained in California, instead of coming to AK & then trying to force your leftist ideals on the people here.",0,0.5581,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,quoted harmful language,"Public Service Message, just in case you didn't get the message from all this:  a) Companies like to talk about ""open communication"" with em",0,0.53,toxicity_model_error,Triggered on pattern in quoted harmful language; non-toxic context misattributed.
FALSE POSITIVE,political disagreement,The Liberal hypocrites have conveniently forgotten the private air service and personal photographer for Christy Clark...and are still hidin,0,0.6995,toxicity_model_error,Triggered on pattern in political disagreement; non-toxic context misattributed.
FALSE POSITIVE,political disagreement,"Another low information con poster just like Trump.  Try reading the full quote for context...I know that goes against your silly narrative,",0,0.7507,toxicity_model_error,Triggered on pattern in political disagreement; non-toxic context misattributed.
FALSE POSITIVE,identity mention,The African slave trade is still an on going reality in Muslim nations across Africa and the Middle East. It is in the Koran that black Afri,0,0.8581,toxicity_model_error,Triggered on pattern in identity mention; non-toxic context misattributed.
FALSE POSITIVE,benign profanity,You speak from a place of ignorance. Do some research and open your mind.,0,0.6085,toxicity_model_error,Triggered on pattern in benign profanity; non-toxic context misattributed.
FALSE POSITIVE,identity mention,"this is white liberal rage, they were told for a decade that they would be in power for the rest of their lives. The last election and the c",0,0.5744,toxicity_model_error,Triggered on pattern in identity mention; non-toxic context misattributed.
